"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.122486015671348,0.106758436699615,69.6958843057269,59.7995393091215,0.106758436699615
"QM",0.0348942931755836,0.0253346041240167,15.2705692827086,13.5449219438451,-0.00450236438291601
"LM bru model",0.0311282448273614,0.0244401349548329,17.608541985839,14.5468742954812,-0.00217333675946128
"GB LM",0.0304794604100235,0.0255222921688892,21.4970535945255,13.1427680418123,0.0030114350581362
"Linear model",0.0292685918409203,0.0223071973530671,15.4598195317026,12.0400689641185,-0.00135825651677686
"ST model coarser",0.0114908485382091,0.00866947646752718,5.49324661289468,3.61208571793468,-0.00325958696714817
