"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,11.5]","Generic PC",0.244446210977741,0.198577729472901,374.337324006725,50.5087126884951,0.172800268341783
"[0.382,11.5]","QM",0.153312614373549,0.116405793241663,135.338225895681,28.7048493696321,0.0236246485400325
"[0.382,11.5]","GB LM",0.149020703252678,0.118457907039523,319.847421604786,24.901532522111,0.0179356576067002
"[0.382,11.5]","Linear model",0.139205560749365,0.105711853693511,167.713247642946,24.1110824350685,-0.00539640478402129
"[0.382,11.5]","LM bru model",0.137677353735727,0.106246270891909,227.271329503244,23.946288978522,0.00361992576123489
"[0.382,11.5]","ST model coarser",0.116736461196432,0.0878924264263696,130.832454640409,19.7330658090589,0.000262408139898825
"(11.5,21.7]","Generic PC",0.238603831399142,0.19708521007771,156.6284844402,41.3185168120229,0.176295649856899
"(11.5,21.7]","GB LM",0.152054789370311,0.120333057728793,123.850528934621,22.7106850786964,-0.0202269974549605
"(11.5,21.7]","QM",0.143238249161268,0.109059619435891,61.146126976414,22.0102644315221,0.0157139432519755
"(11.5,21.7]","Linear model",0.14114386454432,0.11096811182945,102.518933177697,20.0262750300995,0.00674472157242232
"(11.5,21.7]","LM bru model",0.135592248101465,0.105960902759251,105.782906140186,19.1820478128253,-0.000284478572531438
"(11.5,21.7]","ST model coarser",0.102672706233799,0.0777954379631706,83.0110895518142,14.0870663490523,0.000672491429896096
"(21.7,34.4]","Generic PC",0.216971812209048,0.177120515315228,119.814429479032,36.3049910056704,0.134927483288513
"(21.7,34.4]","QM",0.161102195529386,0.120814108677867,60.8428248515771,25.6041488312004,-0.0185567342435626
"(21.7,34.4]","GB LM",0.152779134219573,0.12227254938814,88.3308827942934,22.9780877025705,-0.0309441724075654
"(21.7,34.4]","Linear model",0.146900287883705,0.117203640670172,114.732178788514,22.3431309748532,0.0186201650971599
"(21.7,34.4]","LM bru model",0.143665096214627,0.11275109736735,105.093183056939,20.8580815288744,0.00211932223144147
"(21.7,34.4]","ST model coarser",0.113687712638736,0.0867082013019581,77.994119953874,15.5427434264937,0.000841286391380614
"(34.4,102]","QM",0.220220178496287,0.169103517129229,39.5533314982357,31.5093879580104,-0.106685657866155
"(34.4,102]","Generic PC",0.213521924945678,0.173752623662472,73.1675897480857,32.5704335738371,0.0553191011246309
"(34.4,102]","GB LM",0.194543562292953,0.151306805909987,66.1438349586758,25.8993124010782,-0.0946189013934806
"(34.4,102]","Linear model",0.165061538800622,0.130838802406238,141.275461994974,22.7767975840554,-0.0178279905594393
"(34.4,102]","LM bru model",0.155839373464995,0.125299240385954,154.471143493494,22.3814994020733,-0.0037850136675551
"(34.4,102]","ST model coarser",0.121457209348739,0.0942057605258896,31.7306015609087,16.5978808888092,0.000167498005167513
