"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250826.rds",6891.54537421907,-14017.1165800798,-14003.3123763295,0.906258608228673,0.894215925398614,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250826.rds",8643.00614254,-18094.9389450993,-18125.9073906762,1.17236280251054,1.14598855193529,NA,NA,NA,NA,NA
"lm_model_aic0_250826.rds",NA,NA,NA,NA,NA,-13803.9436730602,-13671.8490887389,6920.97183653009,75.4042795356874,0.793672000953754
"gblm_model_aic0_250826.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250826.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725672553329368
