"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250822.rds",7803.1414078205,-15823.4658339549,-15818.9474826843,1.01312461782656,1.00703964420864,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250822.rds",9375.04049835175,-19639.2439968899,-19629.8156917752,1.25617709348972,1.22239781600856,NA,NA,NA,NA,NA
"lm_model_aic0_250822.rds",NA,NA,NA,NA,NA,-15507.1197765754,-15381.7898077452,7771.55988828769,62.425761826981,0.771423422050595
"gblm_model_aic0_250822.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250822.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748670077836552
