"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.111510155113327,0.103708554959401,93.0777318173947,86.9881346090344,0.103708554959401
"GB LM",0.0236955743741554,0.0184144541831201,17.7428695827525,11.6527990507273,0.0154021321169506
"QM",0.0212589024366497,0.0168854100943555,15.8124965599585,12.1782795472033,0.00859567563259988
"LM bru model",0.0190010028484166,0.0153910254486715,14.6800213944623,11.783255253717,0.00467255815913267
"Linear model",0.0187661817596869,0.0154242911354587,14.9899541665446,12.0865110402631,0.0050418428190132
"ST model coarser",0.0036587906090579,0.00295239483110292,2.80332171701534,2.23208267622811,0.000469673818808549
