"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250819.rds",10702.9435856629,-21671.3190172988,-21669.3989375486,1.33849710360632,1.3299512994547,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250819.rds",13255.224711373,-27966.2397580659,-25753.3247440954,1.71814654191453,1.65399811451576,NA,NA,NA,NA,NA
"lm_model_aic0_250819.rds",NA,NA,NA,NA,NA,-21311.3877787436,-21255.4076317857,10663.6938893718,33.8213673203097,0.636174557604012
"gblm_model_aic0_250819.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250819.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631653293042889
