"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.222919802459203,0.180082226480735,33.0792543222115,0.12656082632913
"GB LM",0.172470909338019,0.13901573963454,24.5639299149394,-0.049021771198046
"QM",0.17206527972745,0.131249333631781,26.0949312312149,-0.0222551615661791
"Linear model",0.150079067990135,0.119608800298249,20.5057898124042,0.000354577609543759
"LM bru model",0.145528765184858,0.115471438650519,19.7231159762892,0.000477795754856977
"ST model coarser",0.10925535832984,0.0822040400140831,14.3926431360807,0.000129944207852583
