"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.19670449536846,0.146950925784704,50.6570577129343,0.09862323044956
"QM",0.156524870098461,0.108912757953419,40.1182812481855,-0.0339015511998672
"GB LM",0.145815174451026,0.10756209311227,34.6333138516537,-0.0137124255593136
"Linear model",0.135583512942904,0.101166858810457,34.6528342206008,0.00137108957338785
"LM bru model",0.132994688000212,0.0989830248388445,33.8530364465794,0.00151859283912443
"ST model coarser",NA,NA,100,-0.203794139612226
