"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.165570063635942,0.109948845391179,74.652899604925,0.0627494920468469
"QM",0.116274695278432,0.0706238052425874,62.3821041897979,-0.0330385786277763
"GB LM",0.114528233908396,0.0772335133226186,54.8941637778349,0.00891732191890533
"Linear model",0.104862456317853,0.0697481592987452,53.1744444313743,0.00057420503794095
"LM bru model",0.104290323575682,0.0693174248575705,52.6057692582182,0.00070623596793948
"ST model coarser",0.0747365881975535,0.0495054173252214,38.2766091235858,0.00141992466291616
