"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.219363994030539,0.166355135511908,104.92027960255,20.9136480522485,0.153460582713434
"0","QM",0.142478596005517,0.111052661919305,38.287672970526,17.348869589849,-0.0665015926322516
"0","GB LM",0.140029571906187,0.107635127229517,68.4915549397951,15.578371449758,-0.0624973706136252
"0","Linear model",0.128132417327557,0.105106756152399,99.5671822677093,14.6316936109193,-0.00278401119580107
"0","LM bru model",0.111943464947715,0.0843618445996565,69.0251166788254,10.271195214661,-0.000771055734245129
"0","ST model coarser",0.0833017674824719,0.05967950609963,83.6635588071223,7.57499374205534,-0.000507340567798953
"[3,197]","GB LM",0.235045318623843,0.16365852421573,245.862376460553,30.7837386279839,-0.0433220251544657
"[3,197]","Generic PC",0.234082039548109,0.188528233345524,287.000446921535,42.8859602584376,0.163397280003217
"[3,197]","QM",0.161874209198236,0.116399736700052,102.642112553956,27.2935378578462,-0.00489457484857916
"[3,197]","Linear model",0.137911690315737,0.107201329111706,127.669887003498,20.1803288867629,-0.00274436258045089
"[3,197]","LM bru model",0.134153329445586,0.106282074153328,257.728386058297,19.8136585488741,0.0018309496979105
"[3,197]","ST model coarser",0.109995250488084,0.0846083732925818,157.034767621046,16.1872886017776,0.00184286985288993
"(197,321]","Generic PC",0.222883581684741,0.173455071384435,318.829450198947,44.9109325397356,0.142738306663835
"(197,321]","GB LM",0.190339549203547,0.135883574936178,312.363414685897,28.3685357916302,-0.0157951893265968
"(197,321]","QM",0.17531607347318,0.123879102627426,97.5650469672871,32.220603922638,-0.0438885058241731
"(197,321]","Linear model",0.147143911518568,0.11464924180637,399.742033829564,26.8005045520761,0.0144418459726188
"(197,321]","LM bru model",0.142024570758769,0.110360581111273,307.894630836721,25.2491799080673,0.00235412505702003
"(197,321]","ST model coarser",0.119843721619037,0.0916997469075954,102.967780140583,21.1721336325317,0.000334776703050936
"(321,725]","QM",0.211528348775451,0.157515210797335,55.8767354358891,41.1998150667852,-0.0913801974239568
"(321,725]","Generic PC",0.202065672307157,0.152203304505886,110.180510383784,34.7707566153114,0.0814951374044161
"(321,725]","GB LM",0.173876321857438,0.126495779220303,106.998370711064,27.2122918609836,-0.0477366394259578
"(321,725]","Linear model",0.153228040516212,0.117856957630471,217.733616729819,25.7832025660248,-0.00547392595780694
"(321,725]","LM bru model",0.149357526535937,0.115881603850938,197.251031362225,26.1260266999435,-0.00167632720175199
"(321,725]","ST model coarser",0.12782013199299,0.0986257604947742,92.0947630353759,22.2474176707734,0.0012117703819022
