"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.234180153375129,0.18649440076717,229.260966910032,32.4345819450431,0.182951287666627
"0","GB LM",0.145056004100093,0.118950889502007,111.596470877471,19.5381365134388,-0.0646130869717538
"0","QM",0.128629823624808,0.100908651871643,73.4405548274554,15.0646737956443,0.0371982870183866
"0","Linear model",0.11002229209434,0.0855832830858954,78.845483926793,13.2386130938653,6.70140602440338e-05
"0","LM bru model",0.109747321635197,0.0846332801178454,93.2414492654838,13.1062774499574,-0.00139848424654012
"0","ST model coarser",0.0770562966929002,0.0577274056301019,60.6043714224307,8.95874984909443,-0.000890459457394248
"[3,196]","Generic PC",0.236189350640346,0.193608104118929,67.8049523548429,30.9076787463249,0.175830423880141
"[3,196]","QM",0.168936304505262,0.1313711480184,34.6415644263859,20.3452318896936,0.0290569442939077
"[3,196]","GB LM",0.162926192523182,0.135312516015361,45.2729911222352,19.796815537182,-0.01462519943983
"[3,196]","Linear model",0.147080694923824,0.12013053178511,38.841742317996,17.26484511757,-0.0138835288064953
"[3,196]","LM bru model",0.141232592611132,0.114300111583653,40.4213731711189,16.2004769152774,0.0011973879628833
"[3,196]","ST model coarser",0.107270777349726,0.081812192910515,29.134695766615,11.1103871350741,0.000794067590272106
"(196,321]","Generic PC",0.228282657110145,0.187065830878963,59.6927858568094,28.0741222731784,0.156365673882929
"(196,321]","QM",0.173607740829234,0.134271251805335,33.3436317095415,20.2845758288667,-0.00330368301062967
"(196,321]","GB LM",0.169132860811967,0.138499070800012,39.6241173506178,19.6697162892753,-0.0321486077754845
"(196,321]","Linear model",0.151060049634879,0.120908317683113,38.9532322702345,16.9499508428465,0.0218587705364164
"(196,321]","LM bru model",0.143840056004214,0.11471036389008,37.1688997692747,16.1776149839579,0.0024106744155336
"(196,321]","ST model coarser",0.116715779408119,0.0927606989126089,30.9203270455879,13.6397735227708,-0.00239306999895843
"(321,725]","QM",0.229381298329203,0.178750756988809,32.536846244652,26.4425432243565,-0.107129861366593
"(321,725]","Generic PC",0.211451985056176,0.170533310409821,37.5305004070198,24.5502194994218,0.0699624769696943
"(321,725]","GB LM",0.199980797160097,0.162400575731416,30.3724114237941,22.2902462208108,-0.0961665223720606
"(321,725]","Linear model",0.166840267374259,0.13273565982394,29.3073861063258,18.5326311073407,-0.00879583673788796
"(321,725]","LM bru model",0.161324667542082,0.128902941780037,28.688379887142,18.2297199016211,-0.00309583239767074
"(321,725]","ST model coarser",0.129552830746769,0.103155230588718,23.0826273196993,14.2422916715847,0.00167601660252941
