"elevation_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"0","Generic PC",0.239691860912919,0.191311925283935,292.241796258555,33.8382186508521,0.186289760944497
"0","GB LM",0.168244733423052,0.134997216804116,142.102701222515,23.9411847454542,-0.0750651514181782
"0","QM",0.133132730130077,0.103343756272822,117.614628256887,17.503678975019,0.041349426138259
"0","Linear model",0.124711398932365,0.09872431454957,44.3060909848781,16.5138117174607,-0.00502182393223414
"0","LM bru model",0.121245150718242,0.0935620763585637,137.896825956828,14.7493948829834,-0.00315382160006548
"0","ST model coarser",0.0811857303588033,0.0606484157196068,110.910857323193,10.3191157477907,-0.00152349565281217
"[3,196]","Generic PC",0.210652327999922,0.162421617306093,379.296901987596,35.9928953722681,0.131573924776051
"[3,196]","GB LM",0.182421706195948,0.133686370662142,374.43658070497,23.8742491109543,-0.0285893629435826
"[3,196]","QM",0.169695638257987,0.121990483887269,145.304568607361,27.0110533983535,0.00109396691788155
"[3,196]","Linear model",0.147915262399877,0.115504695941313,182.385000890526,22.3273813708871,-0.00290698277261816
"[3,196]","LM bru model",0.140524028498655,0.109899046880301,231.449570085983,20.2510222539953,0.00511904834662544
"[3,196]","ST model coarser",0.107271073753358,0.0813015672636506,413.58541427909,15.6105708897779,0.00226154460639179
"(196,315]","Generic PC",0.202033611033045,0.153593835508274,783.651412783277,30.7898949610283,0.110553254387264
"(196,315]","QM",0.182670301252757,0.134347608690227,312.31539466144,27.5488061443584,-0.0462836807577681
"(196,315]","GB LM",0.162487808012613,0.128165172890116,672.378400410249,24.7302317709372,-0.0432571698533117
"(196,315]","Linear model",0.146591700824538,0.114587645282319,723.026055931809,20.2805757265463,0.0206102946870536
"(196,315]","LM bru model",0.142058532963909,0.110500654205951,895.665638105302,20.8157311858136,0.00193384720270293
"(196,315]","ST model coarser",0.114974094262715,0.0876659449055228,534.689344471633,17.0488204599216,-0.00191269513749087
"(315,725]","QM",0.218925690244576,0.168683136824859,50.1081746197657,34.6897841063767,-0.102988675811068
"(315,725]","Generic PC",0.186916486988931,0.144412451557108,76.7696786117516,28.5757533839705,0.0537016154123436
"(315,725]","GB LM",0.183095688448696,0.141710597764282,83.8483106835452,26.9084726212969,-0.0859355744780792
"(315,725]","Linear model",0.153389303903406,0.120184718347459,94.5846678243311,21.6138436585238,-0.00906952491464111
"(315,725]","LM bru model",0.147161928906342,0.115611572479007,105.892102445648,20.5597270263338,-0.000398786562291353
"(315,725]","ST model coarser",0.125102960106797,0.0956444863207855,74.5067566568332,16.8578935148755,0.00441789108396435
