"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,11.5]","Generic PC",0.188772192413195,0.132228324713012,1138.59173659365,95.0024814897568,0.115219012188257
"[0.382,11.5]","GB LM",0.111951118112717,0.08322514517767,1223.16149999767,66.9645639751205,0.0498735984333658
"[0.382,11.5]","QM",0.0906787905616436,0.0587215222376209,516.507957636432,51.3570375009688,0.00216273323615726
"[0.382,11.5]","Linear model",0.087186651282494,0.0567924731076838,587.713723609838,50.8581744237125,0.00168703441549558
"[0.382,11.5]","LM bru model",0.0839089536668842,0.0551816940362241,611.323490610901,46.9584175811951,0.00287967474404573
"[0.382,11.5]","ST model coarser",0.0565164847630856,0.0368868904762325,555.945159482509,29.9580174324475,0.00143705440569449
"(11.5,21.7]","Generic PC",0.172928371013966,0.115965201795642,394.697629241066,73.3333333333333,0.0886112337261722
"(11.5,21.7]","GB LM",0.0929765473388165,0.066633198483798,436.859296160159,48.6511340780909,0.0103236588584018
"(11.5,21.7]","QM",0.0888201271934256,0.0574751708787971,157.519429853421,56.2216792516647,-0.0133894504197106
"(11.5,21.7]","Linear model",0.082870902876427,0.0549841301057393,242.05088483837,47.8121437053223,-0.00458333992217614
"(11.5,21.7]","LM bru model",0.0775747502390938,0.053457419481246,319.504418761887,44.6208801054092,0.00037106775456275
"(11.5,21.7]","ST model coarser",0.0566199416865696,0.0375223846586334,168.146330836393,30.8161800907575,0.0011816878436337
"(21.7,34.4]","Generic PC",0.152477887401159,0.0967064763553493,1703.59939079675,83.5601671917827,0.0830333435115723
"(21.7,34.4]","GB LM",0.0831541532942462,0.0589868764378734,1729.77507469539,53.2810384126078,0.0230944189811294
"(21.7,34.4]","Linear model",0.070647251636614,0.0503432275067115,1840.25374971202,45.7791348212934,0.0155581870968731
"(21.7,34.4]","QM",0.0702121323845039,0.0432185031181228,599.327366580317,51.6040611028208,-0.00654888502676189
"(21.7,34.4]","LM bru model",0.0691743676765412,0.0465187570763702,1469.31185495219,45.6476218340529,0.00554034201528393
"(21.7,34.4]","ST model coarser",0.0557090382325683,0.0372519794477678,1872.84724823859,36.8671774506411,0.00480754528172121
"(34.4,102]","Generic PC",0.127542116540226,0.0791128014397848,636.92512468533,57.2463025046745,0.0290859638360347
"(34.4,102]","QM",0.107194848374341,0.0629736089762235,139.035088260191,57.5433147743235,-0.0489828000030153
"(34.4,102]","GB LM",0.104552745346943,0.0682553927605336,877.494408999202,45.8409908477292,-0.024462294583786
"(34.4,102]","LM bru model",0.0918562096261568,0.0646346724347844,1225.22266735194,43.3281177289816,-0.00340214963367621
"(34.4,102]","Linear model",0.0899945328334322,0.060629551148239,1101.74174807405,40.9771673917771,-0.00915277630015783
"(34.4,102]","ST model coarser",0.0647531861048017,0.0444163963352185,460.094501071673,36.7727088299264,-0.000721661299045679
