"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.219857726763769,0.17011533980679,36.7856469540239,0.134995967451412
"GB LM",0.188221469270972,0.133586496054227,24.0145248034092,-0.0421371279188638
"QM",0.174967410035361,0.127412099182131,26.3794766581291,-0.0516636460115542
"Linear model",0.142067131527226,0.11127739547594,20.8638905037669,0.000904007159883196
"LM bru model",0.135315058956037,0.104416016995137,19.6662283273465,0.000440853583798795
"ST model coarser",0.111756847137798,0.0838843498553854,16.1473705303183,0.000729582938695726
