"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.147489347739674,0.142038839263896,47.6406486204595,48.3669136467298,0.142038839263896
"GB LM",0.0509493238214926,0.0395378941528792,9.87717175702856,9.80279927066576,-0.0333224396056948
"QM",0.032813079725205,0.0258287025001732,7.7736708445909,6.4040536566401,-0.0173356774884189
"Linear model",0.0317293078432538,0.0261269708108054,8.66476189362279,5.89420469855853,0.00151119810545185
"LM bru model",0.0284542882003965,0.0235405144921828,7.31970361464525,5.43443197605779,-0.00667146658912964
"ST model coarser",0.0119499559753392,0.00941330525427673,3.24781179028156,2.2140827963683,-0.00241243509077436
