"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.215636874400141,0.16557617367161,1123.24648917466,103.849782684121,0.143017515712366
"Wind Offshore","QM",0.127224729821735,0.0926560462128563,680.298454477551,59.4696125807333,0.0331517958301613
"Wind Offshore","GB LM",0.121992912413106,0.0858237517151892,588.769521669511,50.1818024140041,-0.00324272167864719
"Wind Offshore","LM bru model",0.118511434790719,0.0814759278596836,581.491958159019,49.536043583405,0.000824237266955638
"Wind Offshore","Linear model",0.11712916254761,0.0802710485805237,593.238616587023,48.3309960851733,0.000602330221944382
"Wind Offshore","ST model coarser",0.0817266027105106,0.0530022325632439,544.18425131607,30.2575429381598,-5.58041709028762e-05
"Wind Onshore","Generic PC",0.153582623857864,0.108806159062967,385.924096727937,53.3237467373174,0.029867548091504
"Wind Onshore","QM",0.135827490007352,0.0950921336556099,171.932012553491,55.1249226561692,-0.04452446807689
"Wind Onshore","GB LM",0.130525744287986,0.0937047335736667,403.385503630895,47.8298275766315,-0.011699242271815
"Wind Onshore","Linear model",0.116278585067578,0.0862068746064771,466.948363569383,44.6052917100758,0.00101247249497367
"Wind Onshore","LM bru model",0.114118202729289,0.0844574884178981,406.328469170414,43.5248027052268,0.000764563596501592
"Wind Onshore","ST model coarser",0.0932107314787137,0.066484547244738,297.548479622328,34.6848994283018,0.00120357670979765
