"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.243032366756827,0.194706119226505,400.667228827981,99.8335425088097,0.171370188782664
"Wind Offshore","GB LM",0.118222415453948,0.0861021692409951,230.975568150793,41.2110263747601,0.0024032425684958
"Wind Offshore","QM",0.116435049670814,0.0803399925133224,188.249061313123,41.4784343518533,-0.00631961537210897
"Wind Offshore","Linear model",0.111782420271012,0.0789655539320813,184.744034690425,39.2946417290026,2.93095308443785e-05
"Wind Offshore","LM bru model",0.110759242253163,0.0779105634795789,252.502977241712,35.6425944971229,0.000161776634013852
"Wind Offshore","ST model coarser",0.0737204427927078,0.0492314426294123,76.2448918635022,22.6772359624703,-0.00197021474819789
"Wind Onshore","Generic PC",0.139921711962929,0.0889669551369391,735.74817568501,68.7500280917765,0.0358601475089608
"Wind Onshore","QM",0.116234964958633,0.0682185370481397,258.937251195502,65.7950425514945,-0.0396529295780759
"Wind Onshore","GB LM",0.113595179635915,0.0750380537854994,822.569682316799,58.217980968678,0.0105298997172811
"Wind Onshore","Linear model",0.103077689253103,0.0674663685582546,688.328689767416,58.0062005082526,0.0007090953808293
"Wind Onshore","LM bru model",0.10262604818455,0.0671902131151761,761.626238475662,56.5940725040452,0.000841016829525862
"Wind Onshore","ST model coarser",0.0749806312162452,0.049569643303204,523.493933170808,43.737627362257,0.00225975789199674
