"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250829.rds",20581.719198691,-41398.9684807322,-41394.390830503,0.818426810082898,0.816084659827655,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250829.rds",14025.509788183,-28227.3928983472,-28223.5440100313,0.558020157900379,0.556039422127651,NA,NA,NA,NA,NA
"ts_bru0_lmt_250829.rds",24332.350497452,-48994.5176813303,-48977.2587583253,0.968351032182895,0.965503408262411,NA,NA,NA,NA,NA
"ts_bru0_ar1_250829.rds",21964.4175739059,-44389.430075946,-44377.1746464351,0.87739910121177,0.872817873504395,NA,NA,NA,NA,NA
"ts_bru0_ar2_250829.rds",21996.868507385,-44455.750410856,-44443.3747842436,0.878708614002726,0.875182738125514,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250829.rds",20654.3665897743,-41538.3562750852,-41534.9083313473,0.821204997999045,0.819432103899169,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250829.rds",5211.56586346591,-11238.8309635226,-11303.3101712946,0.803781973397898,0.77162624317858,NA,NA,NA,NA,NA
"lm_model_aic0_250829.rds",NA,NA,NA,NA,NA,-40929.0023678369,-40774.3779966832,20483.5011839184,293.035657077982,0.754360668682885
"gblm_model_aic0_250829.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250829.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.700343004723097
