"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.231440410049376,0.185598232724856,31.0621610533122,0.151525256178028
"GB LM",0.195550666436808,0.14426646191854,20.8286729212555,-0.0512634106085547
"QM",0.178284634822724,0.136296837984563,20.6565456313204,-0.0360023322443832
"Linear model",0.149029181693567,0.119975366541357,17.464711036755,0.000611077385564257
"AR2 model",0.141352927985193,0.111934160001456,16.7154263346058,6.1432553860876e-05
"AR1 model",0.141302811573512,0.111888439695802,16.701954862116,5.58052132562116e-05
"Spatio-temporal model",0.0995591256392482,0.0749679065039994,10.4590990353486,0.000327941179142208
