"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,10.9]","Generic PC",0.387121390297044,0.315871350325174,736.580431031746,115.72059302445,0.294736627092459
"[0.382,10.9]","GB LM",0.238846114057384,0.185934500981302,574.088600225448,62.9006043103646,0.141481080343095
"[0.382,10.9]","QM",0.208333143006979,0.157133495008605,441.118301301589,52.2711943576116,0.0958512448899111
"[0.382,10.9]","Linear model",0.154348208478425,0.115368110007274,352.243360519097,35.9861320701104,0.0100869844812247
"[0.382,10.9]","AR1 model",0.14047414538767,0.106672365686208,236.404168532344,35.8112762632483,0.00548264764375967
"[0.382,10.9]","AR2 model",0.140354229910853,0.106624488079455,229.822723229972,36.1335973212182,0.00552133167219738
"[0.382,10.9]","Spatio-temporal model",0.066943740359758,0.0494445283064444,104.006156299787,16.4496835316903,0.00133882546504537
"(10.9,20.6]","Generic PC",0.297032318631821,0.225587839992157,223.098455915916,65.3121614658393,0.184440650158294
"(10.9,20.6]","QM",0.182473669337763,0.135748201777866,109.621636380948,40.6106165420839,0.016099236772223
"(10.9,20.6]","GB LM",0.159755845448268,0.122670794281643,138.797184921148,36.250444930272,0.0178904235958856
"(10.9,20.6]","Linear model",0.15619648594553,0.117742742175699,144.604872256215,35.1291445750902,-0.0172184582801664
"(10.9,20.6]","AR2 model",0.152749773671271,0.115698675456181,129.102860837018,33.436897009596,-0.00336953917533236
"(10.9,20.6]","AR1 model",0.152246745826809,0.115348224886875,128.398929556539,33.2326298635854,-0.00357021504189607
"(10.9,20.6]","Spatio-temporal model",0.0787174045395662,0.0575757880245153,66.8517570547083,16.8360242162892,4.83457786084788e-05
"(20.6,32.9]","Generic PC",0.270783299574903,0.199257967608594,302.718381423127,63.6172510863239,0.132943238668905
"(20.6,32.9]","QM",0.191626171106264,0.134141818239052,118.23612057852,49.0677948487825,-0.00634414949940934
"(20.6,32.9]","GB LM",0.171376666114757,0.123190752606578,227.173014314311,40.1628279073111,0.00447761059139408
"(20.6,32.9]","Linear model",0.166566909004661,0.124185162757223,345.286598898008,41.1976012309019,0.01625236782455
"(20.6,32.9]","AR2 model",0.160143062827019,0.120052910139263,288.596489206385,39.7803194984321,0.00627544244386995
"(20.6,32.9]","AR1 model",0.159659880476613,0.119495682348341,288.463219007697,39.6159280317431,0.00616636926465814
"(20.6,32.9]","Spatio-temporal model",0.0788409013849667,0.0560763654280704,105.183447250352,20.379114670922,-0.00129969932123841
"(32.9,102]","QM",0.227325449584284,0.172868174333725,64.1321591048388,50.01674112173,-0.10728964014364
"(32.9,102]","Generic PC",0.223887028416175,0.171847725128352,90.0022118688339,43.5616035550161,0.0142350591468447
"(32.9,102]","GB LM",0.200673698228012,0.153275928680607,69.0339680767073,39.1153890579984,-0.0767343288773723
"(32.9,102]","Linear model",0.170115156201839,0.134148566978142,88.5422556139321,31.32834769027,-0.00752065548299734
"(32.9,102]","AR2 model",0.161069286461355,0.124692493383318,84.7067406018857,28.9660108045267,-0.00598111901023805
"(32.9,102]","AR1 model",0.160604949411789,0.124393430663846,87.43770328152,28.9459951717405,-0.00573952838957064
"(32.9,102]","Spatio-temporal model",0.104151461816857,0.0750084438284605,74.7140595407261,18.6062102305285,0.00333018726294165
