"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.135879076350059,0.122828322107008,46.3646414158099,30.8953770700085,0.122825073273003
"QM",0.0627961959821598,0.0531493893715478,15.8147057900091,12.7410732342895,-0.0514006952177666
"GB LM",0.0582444978169068,0.0480169485975915,52.1489011851976,9.85445324193918,-0.0382846016110352
"Linear model",0.0369647592031234,0.0308044095354101,37.5600818965508,5.46491114604772,0.00522517665713866
"LM t model",0.0279176542143223,0.0219486025745481,21.4114704596511,4.38028107878256,-0.0130609111771006
"LM beta model",0.0274388676060836,0.0226990900818943,19.8440785752218,4.83515935935565,-0.00314242983980259
"LM+hour model",0.0255554290383989,0.0208728833260227,26.187986439645,4.27451732606142,-0.00487807222890334
"LM bru model",0.0250722610703354,0.0207117019036275,28.1839318964007,4.30802097901833,-0.00381888410545151
"AR1 model",0.0195782197420663,0.0156972675597334,18.3719258506621,3.25965137899672,-0.00525324160108836
"ST model coarser",NA,NA,NA,NA,NA
