"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.301365340835601,0.228765269760381,64.2456462415588,0.157683723711032
"QM",0.203149084292563,0.149954660522732,48.0129314298902,0.000396342194127212
"GB LM",0.195384154535714,0.146498703889116,41.9875241436903,0.0227437154935184
"Linear model",0.161903513344288,0.122801975776926,35.6313127087091,0.000566757548689515
"AR2 model",0.15354329272405,0.116547135701354,34.1452928578879,0.000668645085802931
"AR1 model",0.15345497746973,0.116463356743939,34.2643456233391,0.000662225830576974
"Spatio-temporal model",0.0513947993600685,0.0358444569838471,10.9168286191036,0.000302240076681398
