"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.230585386369097,0.215140875334621,59.5152983967873,62.3577324003438,0.215140875334621
"QM",0.0685232946820397,0.0537081756416949,14.0716528674504,15.4367179316932,0.0439128102071197
"GB LM",0.0424530603307063,0.0356456676281101,9.42273027366444,9.75230194495371,0.0110449084048401
"Linear model",0.0328826105874793,0.0267740318485269,7.09022745076485,7.90113035964422,0.00848253979979716
"Spatio-temporal model",0.0093192806935072,0.00719704472348309,2.14305479676408,1.57466442337314,0.000711297242946133
"AR2 model",0.000343169237332972,0.00027648525982705,0.0858497642428492,0.0660771649506828,1.27777872328943e-05
"AR1 model",0.000199928851248526,0.000161507310097469,0.0502410923169644,0.0371773737882547,7.39563554158033e-06
