"dist_coast_g4","model","RMSE","MAE","MAPE","MDAPE","Bias"
"[0.382,10.7]","Generic PC",0.151182949488742,0.0758813444033923,2086.416689802,90.5627116312912,0.0245937660866614
"[0.382,10.7]","QM",0.130289032440618,0.056743798866981,899.306058141965,100,-0.0115768571370663
"[0.382,10.7]","GB LM",0.126145334128969,0.0650703771720594,2452.49173600499,80.0568616150798,0.00495147237771703
"[0.382,10.7]","Linear model",0.117379359867614,0.0641960613889561,2348.72361105503,86.8467839886683,0.0114834823550772
"[0.382,10.7]","Spatio-temporal model",0.0830938652868041,0.0357579231525589,1068.77760991482,45.9709037030924,0.00223659445447099
"(10.7,19]","Generic PC",0.208502290754441,0.127706469013362,1309.15523274012,80.6967305393676,0.0734435502448158
"(10.7,19]","GB LM",0.175791150830143,0.10618949159293,1804.32550268103,69.6436231582021,-0.0254240811545615
"(10.7,19]","QM",0.175367142114649,0.100580173856996,608.108118334674,79.4048908910546,-0.00658915217984688
"(10.7,19]","Linear model",0.157967579210186,0.101776381009682,2657.15547822435,70.3259534149656,-0.0112596129525121
"(10.7,19]","Spatio-temporal model",0.048727509960705,0.0312905637786019,490.280225900842,24.3283231069379,-0.00179495380911266
"(19,32.7]","Generic PC",0.132957486774784,0.0616996729260675,2129.94870570448,82.0226263646744,0.0454774114520646
"(19,32.7]","QM",0.0819089347268833,0.0392345556979755,552.681639118368,92.4589409571141,0.00739377900532659
"(19,32.7]","Linear model",0.0739409467505807,0.045963819250366,3905.8603323727,106.2763320216,0.00646875983058798
"(19,32.7]","GB LM",0.0672731869913279,0.0435690007240948,2383.51832281994,73.9506837491647,0.0217302271187894
"(19,32.7]","Spatio-temporal model",0.0340669617054311,0.0221833989117289,713.419450491802,46.6430610932058,-0.000326086222279126
"(32.7,84]","Generic PC",0.118836645832044,0.0480706271635983,1123.52665256648,88.8662523316236,0.0406417428643652
"(32.7,84]","QM",0.0699360378500132,0.027308095117615,351.060860323111,99.0391314271954,0.0102927131059619
"(32.7,84]","GB LM",0.051854779616889,0.0373427296678889,2322.83952665395,82.6926856883809,0.0291289622122977
"(32.7,84]","Linear model",0.0413756391467938,0.0275652297691768,1612.9914457362,102.565822823042,-0.00669262923305352
"(32.7,84]","Spatio-temporal model",0.0220868613367015,0.013689646618759,483.835713431705,53.7520674731071,-0.000115543694609501
