"Model","RMSE","MAE","Bias","RMSE","MAE","Bias"
"QM",0.212515613307357,0.139082834987275,0.0585082206898303,0.209146956966622,0.133278188329963,-0.0184790265391692
"GB LM",0.184330807670657,0.12713429963058,0.00825702423672434,0.193396331942801,0.130785690286442,0.0253663001875193
"1D SPDE model",0.172046527582139,0.119146205492472,0.000688427099675771,0.165683092278537,0.114443031449649,0.00170084075507898
"AR1 model",0.168916788243278,0.116896460698044,0.000672211110319425,0.161850999213898,0.111280306482746,0.00168167223759456
"AR2 model",0.168881924570651,0.116883629726609,0.000736224425934832,0.161925632276868,0.111320971996675,0.00167335739525589
"Linear model",0.156809755728801,0.112743139415631,0.00284035653280004,0.171766914320083,0.118376730669123,0.00141962458756384
"Spatio-temporal coarse",0.0980836424051436,0.0664197280862737,0.00126020970991484,0.131342247794952,0.0867856954365891,0.00126183366970849
"Spatio-temporal fine",0.073206322842018,0.0475337451458695,0.00058173194973148,0.103147510834208,0.0651728574029131,0.00134434477404421
