"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.15651955344896,0.105982977839911,65.6571799851485,0.0597867078301768
"QM",0.121313037867215,0.0769260930627263,56.6922701843078,-0.0231646863423891
"GB LM",0.115822410703225,0.0783957818050946,48.5706318922997,0.00279226086078448
"LM t model",0.113601073681077,0.071111568988742,45.9645916711744,-0.0228069281849165
"Linear model",0.108934354649992,0.0733224531018896,47.290407773357,0.00092849609832075
"LM bru model",0.108190387238275,0.0728299484171892,46.9965338542153,0.00123409726619006
"LM+hour model",0.108140304921838,0.072769512288955,46.9357286430837,0.00124867862070718
"LM beta model",0.106829239367418,0.0721702085427526,45.3022311621586,0.00423656863816163
"AR1 model",0.102985301839116,0.0693561991326278,45.5248642869758,0.00135549031069964
"ST model coarser",NA,NA,100,-0.128544185339417
