"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.21497042370769,0.170683173244536,54.730434326433,0.0979199470652191
"QM",0.162261590550558,0.120468710704818,41.8332360192539,-0.0366199619616653
"GB LM",0.153935202819441,0.117571143996786,37.2230167277868,-0.0159050416597628
"Linear model",0.134024430996985,0.103529592318088,32.6205893616496,0.000324715681718943
"AR2 model",0.125386805467606,0.0959037765535484,30.5741786956292,0.000470048407722365
"AR1 model",0.12521920464531,0.095771956180887,30.511985789021,0.000469103633098632
"Spatio-temporal model",0.0979555056107039,0.0735234862789416,23.2371191708729,0.000455121583179326
