"model","crps","energy","log","bs_0_01","bs_0_05","bs_0_1","bs_0_2"
"st0_m2",0.202830745641243,21.4367014844852,5.36614059300798,0.387083570732895,0.485510905527149,0.523537682249817,0.481591144387631
"spde1d",0.065505486545076,8.04001304548317,-0.584599572922128,0.183781001217434,0.174550768931093,0.141566655101047,0.0908485054784514
"lm_beta",0.0468928168665608,7.82307714014095,-1.92370545859491,0.131758320793767,0.10635274275627,0.0870085958120282,0.0712429196493791
"ar1",0.0786497875633567,9.18841296013113,-0.455734206396529,0.264396723764305,0.275988880569759,0.233530643413684,0.13171774458242
"lm_t",0.0662064862171059,8.43234933797156,-0.617575019699732,0.181571528122717,0.171242406379352,0.139068564645727,0.0900473076454833
"lm_bru",0.0654684824750834,8.0342344609236,-0.573081442978855,0.183603827854882,0.17436093413684,0.141367866204042,0.0908375495495495
