"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.281398666556244,0.19402925344075,52.1506724147349,0.148411761657526
"QM",0.202583588392802,0.136293736492118,45.3358569910011,3.34991604046612e-05
"GB LM",0.188366718928346,0.130555766823409,35.3792117191295,0.0199046170473465
"Linear model",0.170338113630956,0.119522487330674,35.2429740270618,0.00256526481214126
"Spatio-temporal model",0.0935766830177346,0.0622564265571275,19.877142283103,0.00261032338655449
"AR2 model",0.0734499837165399,0.0507848148349021,16.9133942951195,0.000931126535880828
"AR1 model",0.0712243209301884,0.0496215931906676,16.2215218482748,0.00105075567581031
