"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.174544183704417,0.121483690199979,61.7549932692013,0.0828975260611399
"QM",0.133896273235023,0.0851757414009747,49.0056487536075,-0.0311655213906921
"GB LM",0.122353161873875,0.0854065458167823,41.4211004278952,-0.00372983153673048
"LM t model",0.116023198628481,0.0764855786316233,40.8674440934076,-0.015209772029517
"Linear model",0.114340946906929,0.0798662978528177,41.929570550061,0.00171347191968945
"LM bru model",0.112113655353433,0.0781542855326658,41.0954794360103,0.00192498452655829
"LM+hour model",0.111886188966265,0.0780085238939156,41.091270841375,0.00197100369621485
"LM beta model",0.110137310536055,0.076760809030238,39.426318688632,0.00737128102412307
"AR1 model",0.106917537545349,0.0743593318094029,39.7025131089031,0.00175866844945521
"ST model coarser",NA,NA,99.9999415349037,-0.197965310473844
