"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250916.rds",12185.6444703097,-24573.1008792181,-24578.7134307079,0.520559002210725,0.517850530353697,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250916.rds",11801.9739713504,-23776.9846059857,-23775.6963765873,0.503551669379509,0.49896520332428,NA,NA,NA,NA,NA
"ts_bru0_lmt_250916.rds",12336.6703143068,-24890.0310101618,-24893.8275706165,0.527232867926425,0.524504068805497,NA,NA,NA,NA,NA
"ts_bru0_ar1_250916.rds",13367.120923691,-27164.9532274089,-27179.5915135328,0.575642128082542,0.572867288822689,NA,NA,NA,NA,NA
"ts_bru0_ar2_250916.rds",13376.759700784,-27231.4146965168,-27246.1208632194,0.577052148269816,0.574875048225788,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250916.rds",12436.3652685904,-25084.1739870355,-25090.0841164541,0.531389424920054,0.529729510008384,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250916.rds",5661.49587363384,-12113.5054721252,-12195.4631641823,0.840369862313613,0.816664424295627,NA,NA,NA,NA,NA
"lm_model_aic0_250916.rds",NA,NA,NA,NA,NA,-23719.1382366743,-23565.8207592585,11878.5691183372,505.29710087817,0.776181985054972
"gblm_model_aic0_250916.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250916.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733042667575483
