"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.312824633961658,0.231157669799835,99.1212114917832,27.3298685992025,0.188719508838378
"high","QM",0.251908939916277,0.184392458654702,67.8433134462821,24.9813038365648,-0.00126851414697698
"high","GB LM",0.224317534292293,0.166040223104829,66.0866507347708,19.6792261087934,0.00465788642702926
"high","AR2 model",0.208393674641285,0.15607245471382,66.6820669696934,19.4522788918682,0.000225174219828709
"high","AR1 model",0.208332017431515,0.156009003032038,66.6123169842576,19.5132287504548,0.000230282893711429
"high","Linear model",0.205923430762091,0.154973939979057,66.1383205770816,19.8615770217389,0.000196956787460697
"high","Spatio-temporal model",0.0753471215546631,0.0513404399201198,25.1775964495588,6.15153298528352,0.000600466615750305
"mid","Generic PC",0.340005847532769,0.258693546772032,91.3570524537511,35.7919019779806,0.21429353168129
"mid","QM",0.265495808187655,0.199949619617421,57.6957265647547,30.4638260446725,0.00300484849125126
"mid","GB LM",0.237914428305958,0.176961212478067,57.9787574618916,23.8912801314806,0.0138590139851331
"mid","Linear model",0.215868154902638,0.164951357391705,57.1511496789342,23.6919819050092,0.00144612057089445
"mid","AR2 model",0.215593768100202,0.164824780831404,61.0162667550092,23.4285030688231,-0.0003969339864974
"mid","AR1 model",0.215428891494813,0.164706507906713,60.7694344717839,23.4573472798243,-0.000407819784421199
"mid","Spatio-temporal model",0.0818492307626445,0.0572074975536018,19.749635695519,8.34517489039003,0.000239040250121867
