"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.178288449848174,0.117572097547028,70.9691755169662,0.0863209747232105
"GB LM",0.112273443687859,0.0781717973245233,49.138504887403,0.0183966624740814
"QM",0.10947270127839,0.0715862701293524,53.526207612695,-4.28210712641282e-05
"Linear model",0.0967604508337605,0.0664438243084793,44.2134539420701,0.000657443219362089
"AR2 model",0.0928739602807107,0.0634286990457062,42.9713795347442,0.00131797956531939
"AR1 model",0.0928061688913611,0.0633823281109191,42.8640716644922,0.00131289402676817
"Spatio-temporal model",0.0339414754722931,0.02145105114146,15.0533818829983,0.000903683928019752
