"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.377685768462229,0.297106051305828,109.03185369985,58.799683977992,0.283019950802236
"Wind Offshore","QM",0.244646948299487,0.171022328488728,55.4766193983213,32.7235570528093,0.099116930374647
"Wind Offshore","GB LM",0.199938131315708,0.144912788285641,47.2442015909756,24.5926123735952,0.00216317461590162
"Wind Offshore","Linear model",0.177838240617664,0.12781552751171,57.0802362535337,22.5175558777922,0.00171611243030792
"Wind Offshore","Spatio-temporal model",0.0940676635730103,0.0669191019481038,31.5836650469965,12.360581906694,0.000611580770138576
"Wind Onshore","Generic PC",0.242548322082732,0.160966884314216,509.085749344305,49.5501232205934,0.105235550045072
"Wind Onshore","QM",0.187099081899213,0.125154376795093,151.6908763702,49.7478939277542,-0.0317479787762391
"Wind Onshore","GB LM",0.184501475065426,0.125950684467598,572.996743709841,41.3655794374826,0.0255952683932816
"Wind Onshore","Linear model",0.167861444989099,0.116862455574492,462.205228339243,41.1028957319581,0.00283763444405007
"Wind Onshore","Spatio-temporal model",0.112566624794846,0.0720025926622215,282.803512587074,26.78218712653,0.00125793163876131
