"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.245629643691566,0.199108606784594,445.721782809782,51.0812574185821,0.178041218589948
"Wind Offshore","GB LM",0.161156896837009,0.123526474297211,227.508984921391,26.0388498034156,-0.0530705026999939
"Wind Offshore","QM",0.149215496096638,0.110277066318411,182.049760450633,29.5603007695642,0.0372490473187255
"Wind Offshore","Linear model",0.142464019347218,0.110109134820389,91.7742348639509,23.5584808382877,0.00356823407013551
"Wind Offshore","AR2 model",0.133215706747253,0.101045100045015,169.57824355113,22.2945332115424,0.00011816915940781
"Wind Offshore","AR1 model",0.133092729257638,0.100954184535359,165.846078111367,22.159384163075,7.72320420331505e-05
"Wind Offshore","Spatio-temporal model",0.0706071507620775,0.0483834866866034,103.75518610002,10.3635359689412,0.000400502724688483
"Wind Onshore","Generic PC",0.198170774704539,0.150012632376463,248.575310222973,49.7982733626892,0.0842583028728362
"Wind Onshore","QM",0.177365712844911,0.126016035623263,106.899740145135,44.2329237420703,-0.0536534793427962
"Wind Onshore","GB LM",0.161643896191513,0.121627566902951,239.159573530999,37.9644949053731,-0.0112429933671916
"Wind Onshore","Linear model",0.156522070808758,0.119143278156286,332.644802507471,37.90645373161,7.24631277390146e-05
"Wind Onshore","AR2 model",0.143271546761894,0.108301828335364,254.058876200885,35.8516716581329,0.00120014488211605
"Wind Onshore","AR1 model",0.143133333602439,0.108189296979199,254.203333491993,35.5374533289283,0.00121066160609069
"Wind Onshore","Spatio-temporal model",0.0866507749446485,0.062103776257364,103.810701743293,20.443048523804,0.000950531683796979
