"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.209113270582516,0.163554299367946,35.9714651292262,0.113406594330247
"QM",0.168793461047405,0.123375971309929,28.7139236681733,-0.0262125520733805
"GB LM",0.161667052650318,0.125100598144615,25.3236557749941,-0.0383684700545574
"Linear model",0.144323830058531,0.110786611395404,23.2827489868907,0.000779270050655499
"LM t model",0.142769509402458,0.108645137782438,22.7288814571789,-0.00419066685550444
"LM bru model",0.142494866924724,0.109554307685673,22.6293924758141,0.000545693619906032
"LM+hour model",0.141978306308305,0.109042009151002,22.6905061961835,0.000559288130793977
"LM beta model",0.141295287374111,0.10923383649016,22.2399344894871,0.00479874321034924
"AR1 model",0.134049628618991,0.102725104605235,21.5584791924696,0.000643156627591835
"ST model coarser",NA,NA,99.9721991429541,-0.244474152730043
