"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.196567110228326,0.148065509876071,44.7744020730974,0.100367449481639
"QM",0.156889440753056,0.110029128576555,36.7366303233003,-0.0305180567498654
"GB LM",0.150441281108091,0.111904890966523,30.7553713502189,-0.023916258239522
"Linear model",0.137714613223304,0.102673602103848,30.7188835881665,0.000827198743387366
"LM t model",0.136590577612202,0.0997226312189584,30.3417697726,-0.00899201479387574
"LM bru model",0.135395555858827,0.101184484369254,30.1784913947339,0.000871985187576463
"LM beta model",0.134570344786515,0.100967602405163,29.2608431697551,0.00625246335040459
"LM+hour model",0.134483902056847,0.100376298038093,29.9359680595586,0.000995624078317078
"AR1 model",0.127645610958832,0.095116015573577,28.42245659747,0.000859089401607155
"ST model coarser",NA,NA,99.999994412013,-0.234474670333505
