"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250615.rds",17357.0978275143,-34943.8008679239,-34941.9133985978,0.68989721778989,0.688474382951346,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250615.rds",15241.2190374621,-30679.7827937725,-30673.4283461231,0.605619721893788,0.604078374644043,NA,NA,NA,NA,NA
"ts_bru0_lmt_250615.rds",19056.4493686389,-38383.8782310223,-38373.2195744629,0.757645300260231,0.754920493396951,NA,NA,NA,NA,NA
"ts_bru0_ar1_250615.rds",18347.5756136421,-37122.0715566452,-37113.3151015488,0.732767767072991,0.729305584603387,NA,NA,NA,NA,NA
"ts_bru0_ar2_250615.rds",18342.2917242957,-37162.3814480331,-37155.9539367276,0.73361029284615,0.730714810875783,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250615.rds",17403.129907886,-35128.3312599413,-35127.1901582601,0.693555291368445,0.692568026604632,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250615.rds",4532.78542604764,-9931.37155150754,-9977.98663544009,0.689540061798071,0.660498486808603,NA,NA,NA,NA,NA
"lm_model_aic0_250615.rds",NA,NA,NA,NA,NA,-33956.2594390338,-33801.6087900422,16997.1297195169,387.322451700465,0.787609919027295
"gblm_model_aic0_250615.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250615.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756966674936549
