"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250317.rds",19346.6729016533,-38915.7508544072,-38913.8303122606,0.767198189567227,0.764511042320472,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250317.rds",15557.8791418314,-31304.0483415763,-31299.3709741115,0.617076797034489,0.613851523205219,NA,NA,NA,NA,NA
"ts_bru0_lmt_250317.rds",21874.5567625786,-44037.8319466797,-44016.4354970279,0.867797707469659,0.863604803644439,NA,NA,NA,NA,NA
"ts_bru0_ar1_250317.rds",20356.2524559755,-41117.4602165838,-41106.1954978223,0.810420027133748,0.807114439847058,NA,NA,NA,NA,NA
"ts_bru0_ar2_250317.rds",20364.862975163,-41161.4448091007,-41151.5665046987,0.811315092984026,0.808642023068977,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250317.rds",19385.1213633343,-38989.8126811829,-38987.5004550901,0.76865065642418,0.767273295261085,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250317.rds",11108.0834925306,-23321.9200266556,-23262.6535201983,1.4391594274054,1.40836488334425,NA,NA,NA,NA,NA
"lm_model_aic0_250317.rds",NA,NA,NA,NA,NA,-37188.389762931,-37098.8391166916,18605.1948814655,342.359709670964,0.796276832059
"gblm_model_aic0_250317.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250317.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.770773774289872
