"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250501.rds",20454.5633983103,-41143.8259502536,-41139.4115482979,0.79938228124718,0.797623432653887,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250501.rds",16098.7789344495,-32390.0860260776,-32385.0919144933,0.629276610868631,0.627054909839846,NA,NA,NA,NA,NA
"ts_bru0_lmt_250501.rds",24299.4433411948,-48931.5078561649,-48916.5486268736,0.950500317657666,0.948114433194868,NA,NA,NA,NA,NA
"ts_bru0_ar1_250501.rds",21390.2162387892,-43284.1026875521,-43288.9668885475,0.841149279988607,0.837703604182293,NA,NA,NA,NA,NA
"ts_bru0_ar2_250501.rds",21416.1040713242,-43344.4365620416,-43349.6194907449,0.842328343318289,0.839521901160222,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250501.rds",20460.6238576642,-41147.6201815137,-41144.4478547892,0.799480124535643,0.798103181756402,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250501.rds",8764.82264031106,-18366.5477168157,-18320.2214266856,1.17404972888988,1.14821801960907,NA,NA,NA,NA,NA
"lm_model_aic0_250501.rds",NA,NA,NA,NA,NA,-40838.742819918,-40683.7884978999,20438.371409959,307.678927345148,0.718329399837618
"gblm_model_aic0_250501.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250501.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669949421553941
