"model","RMSE","MAE","Bias"
"Generic PC",0.384535319640751,0.29941140158479,0.249503331265985
"QM",0.314004450889164,0.238879809424197,-0.000122847335437414
"Linear model",0.251007892429668,0.198861447621601,3.37563494926017e-17
"Spatio-temporal model",0.169656146031716,0.125121879992783,1.08064307157256e-09
