"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.178990135900082,0.128974602070041,56.4499469345254,0.0814076457458974
"QM",0.13671177737049,0.092149104970368,46.9988427979303,-0.0285692351360098
"GB LM",0.131255605808129,0.0943952665711623,41.23586025426,-0.0071651525493814
"LM t model",0.124165492318357,0.0851186772944269,39.469002314024,-0.0179436453494455
"Linear model",0.123483148205125,0.0889643858657173,41.1180288219983,0.000601192383844522
"LM bru model",0.120961822177414,0.0869315802721594,40.4201765490976,0.000798570884049731
"LM+hour model",0.120434484126381,0.0863915316383961,39.8537540792745,0.00087037674665792
"LM beta model",0.119477188585386,0.0864042085459753,38.8871530870876,0.00724006203296536
"AR1 model",0.114820243645712,0.0817411391355098,37.6378289346865,0.00105243791936175
"ST model coarser",NA,NA,100,-0.0839601598519623
