"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.126821757492365,0.115317184046543,46.9570529672996,43.1112484840731,0.115317184046543
"GB LM",0.0456282405590896,0.031093535017156,9.95467086330497,8.81904538466074,-0.0222731025979071
"QM",0.0315990566145792,0.0270804346919884,13.28449022121,9.94570895499501,-0.0130060244885952
"LM beta model",0.0297403026733092,0.0251763910905845,13.7072112876614,9.42828930646133,0.0212367073983485
"Linear model",0.0248780835119986,0.0192407204335087,8.53030502461897,6.33195907574993,0.0026094573060717
"LM bru model",0.0221073466141462,0.0172278125330997,8.70125943032233,5.19758877010216,0.00726344460647157
"LM+hour model",0.0220117005511892,0.0171011373502317,8.60482313801911,5.18274824035649,0.0072152364184187
"LM t model",0.0195900558636679,0.0152247655445304,7.26102086388733,4.74893451439063,0.00116807553863143
"AR1 model",0.0148413514981691,0.0120227940477502,5.98264066282108,3.82253820707353,0.00583113739688878
"ST model coarser",NA,NA,NA,NA,NA
