"model","RMSE","MAE","Bias"
"Generic PC",0.199725810367255,0.164377786319765,0.163062780798636
"AR inlabru",0.0924605286956013,0.0767998251671771,0.000316157078148555
"AR1",0.0751340178262509,0.0616966087027053,8.57252686776637e-05
"QM",0.0746434172080225,0.0541178650294197,-2.59603243456058e-05
"Linear",0.0519337112218813,0.0375158075786748,1.38657294425282e-19
"Linear inlabru",0.0488379340202745,0.0359141335808572,-2.60536913096254e-10
