"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.14987279735252,0.0985464300336219,64.8258490455862,0.0444045197338383
"GB LM",0.112823842544133,0.0760374048299405,52.5987240699411,-0.010821319054832
"QM",0.112378706894859,0.07222262115734,60.5256902578501,-0.0271175412722201
"LM t model",0.107115057322557,0.0683813928021392,50.1738495079078,-0.022946511977611
"Linear model",0.103618395497074,0.0712606258483849,50.8753455709846,0.000514817792350738
"LM bru model",0.102592209486793,0.0707975730531258,50.6973204730148,0.000794200169894796
"LM+hour model",0.102204187100576,0.070330212628793,50.7169358443563,0.00084693142590001
"LM beta model",0.10164451853781,0.0699345157386627,49.5427188717455,0.00211763721084023
"AR1 model",0.0994796204489553,0.0679529406669228,48.8739130467513,0.00111302474391331
"ST model coarser",NA,NA,99.9999943489991,-0.0448349632587409
