"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"mid","Generic PC",0.312199495566309,0.231456655210098,2049.28244653635,63.8279577545356,0.158917687198548
"mid","QM",0.253164516447296,0.183112361148531,1036.45686054543,50.0847585801046,0.0165325615374762
"mid","GB LM",0.233056232130612,0.175119964818359,1474.46932663557,44.8183073304197,0.0341461073387206
"mid","Linear model",0.210718052396824,0.158088288533837,1288.10920356298,44.2825395500633,-0.0203969589388519
"mid","AR2 model",0.207077499137616,0.158890049436779,1431.91888217357,41.4632309965954,-0.000356357627564857
"mid","AR1 model",0.207030492767381,0.158820568484122,1421.57444851424,41.5336785724239,-0.000574681488289547
"mid","Spatio-temporal model",0.0801924935682078,0.0517749736113625,469.62707073611,15.2965742564527,0.000112511695745547
"low","Generic PC",0.174944685331911,0.109029584090087,1749.19740912491,85.6835141686032,0.0627831895525446
"low","QM",0.13413071978995,0.0768633307112025,656.583052189173,83.3284867239848,-0.00797305841300637
"low","GB LM",0.129733283529895,0.083327799966908,1524.81274518126,68.6415358887272,0.0220415709900378
"low","Linear model",0.105893177405708,0.0706169261086606,1360.56910630806,69.0893895353596,0.0141069810608144
"low","AR2 model",0.103215151068302,0.0680984409784145,1218.72866889598,63.8919540520255,0.00314540192640944
"low","AR1 model",0.103203685071374,0.0680607050520933,1216.20463132522,63.730518664355,0.00322730167184843
"low","Spatio-temporal model",0.0404334021161758,0.0230582876809765,373.814721102555,23.3966581859103,0.00227699238019315
