"model","RMSE","MAE","Bias"
"Generic PC",0.213306532202987,0.153379415966038,0.101947072089255
"QM",0.154482807216039,0.107647211925553,-0.000250271466776436
"Linear model",0.136893521375315,0.100564777050339,-1.15450156334891e-17
"Spatio-temporal model",0.0935471767323336,0.064542619281637,8.56671766660313e-11
