"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.217032045510459,0.171405649149495,336.982958846223,31.4407830152368,0.157863066794395
"Wind Offshore","GB LM",0.149163738484025,0.115409156062239,177.436621258772,19.1341631750154,-0.0690203810476576
"Wind Offshore","QM",0.133600221847564,0.0948072747729117,162.42679235562,16.0955713493801,0.0408820423665078
"Wind Offshore","LM beta model",0.122632347770089,0.0931465661311551,202.625974942934,14.181407449016,-0.00574703485742673
"Wind Offshore","LM t model",0.122074945465683,0.0884620210675964,177.149613083599,14.0846278687645,-0.00316251702046505
"Wind Offshore","LM+hour model",0.121716284276108,0.0901219010824605,199.490093191218,14.1386417175488,0.000105688824742799
"Wind Offshore","LM bru model",0.121709006985006,0.0901559395856472,195.817434865787,14.2998365237849,0.000185867652384224
"Wind Offshore","Linear model",0.120020700291373,0.0891881914071477,167.365711790733,14.2406267863634,0.000883060792308278
"Wind Offshore","AR1 model",0.117929492786267,0.087151936937809,191.434860163305,13.8254039022082,0.000265399678798054
"Wind Offshore","ST model coarser",NA,NA,113.159453711543,100,-0.571715370538071
"Wind Onshore","ST model coarser",0.495676315529198,0.403300322318947,1597.01103186492,99.9571641201207,-0.202162966503498
"Wind Onshore","Generic PC",0.206745233347647,0.161263100843738,236.797695535168,36.9279909833392,0.100433206704501
"Wind Onshore","QM",0.177755076019691,0.1317129524871,101.551664596851,31.6410302107727,-0.0457922472901535
"Wind Onshore","GB LM",0.165137452672649,0.127928776536153,237.333949942478,28.0837353634979,-0.0294235605567549
"Wind Onshore","Linear model",0.15067896531824,0.117089510817694,291.019549394034,26.1151366474234,0.000748981603354355
"Wind Onshore","LM t model",0.148265170180208,0.114534997011241,308.719605761653,25.5804268072424,-0.00449077958243762
"Wind Onshore","LM bru model",0.148010010958967,0.115214035989857,326.397308867773,25.3150706116516,0.00065057630513097
"Wind Onshore","LM+hour model",0.147360685882142,0.114559549049061,299.960499962935,25.3154517792127,0.000691782022123325
"Wind Onshore","LM beta model",0.146287886439193,0.113906770746744,288.256688379187,24.9479904904246,0.00787475543122078
"Wind Onshore","AR1 model",0.138435548499743,0.107292170272099,287.405291217061,23.7499264890734,0.000756218247594752
