"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250221.rds",11478.5642764539,-23160.973666477,-23164.0977269272,0.474188287856204,0.471082572811415,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250221.rds",11331.2082066041,-22851.0560733417,-22849.2962536089,0.467743998146421,0.460951667137892,NA,NA,NA,NA,NA
"ts_bru0_lmt_250221.rds",11702.7646015659,-23640.7492319301,-23640.9874063593,0.483950612948017,0.480417187144848,NA,NA,NA,NA,NA
"ts_bru0_ar1_250221.rds",12506.0841389231,-25355.155058553,-25365.5202014497,0.519252463412004,0.517272050672636,NA,NA,NA,NA,NA
"ts_bru0_ar2_250221.rds",12516.4155722189,-25397.8538661436,-25407.7758697875,0.520117749506891,0.518430084087283,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250221.rds",11514.795530868,-23234.9118120478,-23240.9048726197,0.475760569148154,0.474338568136576,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250221.rds",3972.4870184911,-8542.98747777614,-8587.01186509484,0.623963901439524,0.611570933879196,NA,NA,NA,NA,NA
"lm_model_aic0_250221.rds",NA,NA,NA,NA,NA,-22031.1654178587,-21885.3048932743,11033.5827089293,579.415054498013,0.743180453808338
"gblm_model_aic0_250221.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250221.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703477715234226
