"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.0992844773761941,0.0902123145144474,75.7045918638833,68.663785333135,0.0902123145144474
"GB LM",0.0262015872370617,0.0206909769668546,22.9902770002023,13.0481743423293,0.00684167851639523
"LM t model",0.0253847043868708,0.0187144364937726,14.8385895148771,12.3804342055511,-0.0140721291948422
"QM",0.0246333946304359,0.0181676297943121,15.5779490265603,10.8370669036541,0.004157744344642
"LM beta model",0.0233349184111655,0.018665003863187,22.0823729190248,12.2862192280626,0.0127298697596427
"LM bru model",0.0209720446486138,0.0163307762419041,18.7871489798875,11.0431359586349,0.00657128333050589
"Linear model",0.020700822025946,0.0162893458081179,17.7489376741156,10.1683566876203,0.00492544701798349
"LM+hour model",0.0205649180305095,0.0160572853684166,18.9681497038154,10.3565975867746,0.0066318292602667
"AR1 model",0.0119171293605145,0.00911463066857365,8.6294754935855,5.63838106673684,0.00601847050837568
"ST model coarser",NA,NA,NA,NA,NA
