"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.195090968536499,0.146985582012996,51.2240644806083,0.102795521338184
"QM",0.144194061408252,0.100215935326352,38.3024438323967,-0.0294641525256612
"GB LM",0.136499345600646,0.102055629034496,33.5482572939662,-0.0106358621604921
"Linear model",0.12296489270677,0.0917935361182879,33.2007959068185,0.00119198918451721
"LM t model",0.121947695977848,0.0879430482136224,31.4364840772771,-0.0102143377929673
"LM bru model",0.12023590677717,0.0894544558475036,31.5020867166623,0.00132718682177524
"LM+hour model",0.119675036778497,0.0890219595226044,31.2462823234956,0.00139661719447792
"LM beta model",0.118943168725092,0.0882529461156347,30.3768980846731,0.00514381067427579
"AR1 model",0.114038034155845,0.0841879196526522,29.4102595062818,0.00119931187035992
"ST model coarser",NA,NA,99.9997992965887,-0.233722086681296
