"model","crps","energy","log","bs_0_01","bs_0_05","bs_0_1","bs_0_2"
"1",0.0602726864944481,8.0501329858116,2.33422056801612,0.1781993667154,0.179449012426901,0.168209686038012,0.13466273452729
"2",0.0562978820456327,6.89900017572701,-0.711969116349893,0.159109467348928,0.180048714790448,0.167331386208577,0.103825061159844
"3",0.0446532320507937,6.6653838751192,-1.93789378722334,0.131446591861598,0.144277651559454,0.137691680190058,0.0937976669103314
"4",0.0978048086733742,10.7685522873229,-0.0999124916003296,0.270495748659844,0.369235333942495,0.384292949195906,0.241805917032164
"5",0.1178860895937,29.2479003164737,0.110928285772002,0.197390408625731,0.208547009624756,0.201816346003899,0.158950593079922
"6",0.0563450503235114,6.90894852406869,-0.704947198201424,0.162036187865497,0.182091516691033,0.168157748538012,0.103411340034113
