"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.145544355458554,0.135572268844799,50.3814288205103,43.5557836284695,0.135568124172119
"GB LM",0.0551346982397709,0.0417621511970703,12.9790192184725,10.6173613759411,-0.024455016106633
"LM beta model",0.0361398693242333,0.029004962916822,13.2111267304381,6.47346256235279,0.0082528578267746
"Linear model",0.0352059340366562,0.0273719762331581,11.5053924039754,6.84397973439396,0.00534473002796476
"LM+hour model",0.0342004795346579,0.0269699442330531,11.6190768188137,6.19079327819003,0.00474123663995077
"LM bru model",0.0341619531495783,0.0271775605570513,11.8797309224721,6.47180642476381,0.00465245583792297
"LM t model",0.0324506967629856,0.0254756935267695,10.1100055966605,6.97605542574465,-0.00540527273211119
"QM",0.0307768259138036,0.0238546413111165,9.99651130226281,6.18789357923936,0.00201083504326217
"AR1 model",0.017667244457919,0.0135272272445619,5.4683628145118,3.53326634710277,0.00310209050174588
"ST model coarser",NA,NA,NA,NA,NA
