"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.138819086258823,0.128463396140856,63.7042786943006,56.2179305464778,0.128463396140856
"GB LM",0.0390231841911314,0.0298061299536796,13.412032574097,10.5190013269452,-0.0107555508043265
"LM t model",0.027101738123469,0.0209267146500855,10.0701361802504,8.13848886571315,-0.0149174080266679
"LM beta model",0.0255046824250628,0.0201972823214635,12.518266432131,7.26458211407401,0.00910183690031551
"Linear model",0.0252728368816353,0.0203738998508628,11.2957587262735,7.8899632370399,0.00254985743583631
"QM",0.0241299071667232,0.0189791190074696,9.98965004056914,6.64005665997036,-0.00463517240289877
"LM bru model",0.0239002322954284,0.0188045619751434,11.0575201561807,6.91022757209842,0.00351337912239463
"LM+hour model",0.0233277727652954,0.0180918692265699,10.6524938069325,6.75034000374074,0.00338800725481981
"AR1 model",0.0156638681250033,0.0117649996596107,5.76001185573031,4.25122445877974,0.0015128323165785
"ST model coarser",NA,NA,NA,NA,NA
