"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.147147242427133,0.103351310246267,689.979533424519,77.2294881605576,0.0891447586190719
"Wind Offshore","QM",0.0917674530844389,0.0595804633567081,179.499886946732,43.8273404675449,0.00201303611017201
"Wind Offshore","GB LM",0.0870552924160496,0.0564839002516911,453.386639285258,37.7436448529636,-0.0118755881131028
"Wind Offshore","Linear model",0.083969225453365,0.0565466447884046,559.641837628721,36.4571104410509,0.000505561549384643
"Wind Offshore","AR2 model",0.0823025530018462,0.0570669135812746,244.847109312047,40.0121492135385,0.000874211514564521
"Wind Offshore","AR1 model",0.0822073207055892,0.0569772412426126,246.268625476121,39.8976951296507,0.000897100396863663
"Wind Offshore","Spatio-temporal model",0.0406250501516815,0.0262840239570901,199.268635888301,18.3875582630171,0.00063343308599696
"Wind Onshore","Generic PC",0.164710105176379,0.115948165949493,1359.51324715931,72.5142285830998,0.0484090037812441
"Wind Onshore","QM",0.149154810031431,0.0954918171186738,453.129476980702,70.6123238980956,-0.0362997748395678
"Wind Onshore","GB LM",0.14253790380158,0.100934151006262,1286.7391199069,61.8070147863586,0.00364314062604254
"Wind Onshore","Linear model",0.133045056781362,0.0927574051354685,1058.5661980518,60.6335858500328,0.00199912156621895
"Wind Onshore","AR2 model",0.12738481423761,0.0888109073152134,1288.95911066758,55.1424775146519,0.0019202400069017
"Wind Onshore","AR1 model",0.127363405362236,0.0888245686817122,1282.31012427057,55.5677987983055,0.00190385263174143
"Wind Onshore","Spatio-temporal model",0.0835393663544045,0.053077977978935,718.847349944721,34.152739955821,0.00182228380078288
