"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.133089655620424,0.126252408266531,58.7947716977686,50.3610804716873,0.126252408266531
"GB LM",0.0373910869540618,0.031340782659368,13.3070585506329,11.925762456222,-0.0150343241488901
"QM",0.031108084514516,0.0259906947533679,12.0219211197704,9.76483256731749,-0.00780938173318611
"LM beta model",0.0287496549662329,0.0226695469657769,11.9226287615105,7.11199535513957,0.0148387874096221
"Linear model",0.0275942094356653,0.0212705350982735,10.8981223622728,6.06308885198155,0.0109704710463784
"LM bru model",0.0270695930136284,0.0211322466669298,10.8206729618283,6.84280985121024,0.0109918007534191
"LM t model",0.0267299807594406,0.0214643992438997,9.61682946554718,8.35913136305705,-0.012282335293115
"LM+hour model",0.0264666612110434,0.0211023555032748,10.7860973912218,6.99754122714844,0.0108327793571509
"AR1 model",0.0195074683017866,0.0158551106395632,7.43969318280494,5.72927171033715,0.0111645153924679
"ST model coarser",NA,NA,64.335396243675,64.335396243675,-0.136007220790149
