"model","RMSE","MAE","MAPE","MDAPE","Bias"
"Generic PC",0.15105907024053,0.142277219756312,38.3479625709579,33.3742927043092,0.142277219756312
"GB LM",0.0782593455124844,0.0654533187472257,13.6007034870256,13.7939960818919,-0.0579160429154479
"QM",0.043655527177729,0.0347999076483961,10.3608270222839,6.76234904574981,0.00947287361702059
"Linear model",0.0413537506322172,0.0320618624522699,9.4492662864665,5.61998129008382,0.0103546561047409
"LM beta model",0.0378190845175323,0.0307231015276883,8.71756179396901,5.52653170622487,0.00641792887629403
"LM bru model",0.0359698848353856,0.0289286093537917,7.90957945410925,4.9981023494404,0.000553278665961826
"LM+hour model",0.0343020233376327,0.0275496247586449,7.53925970060061,4.82820643572954,0.000399316914327059
"LM t model",0.0334557918532192,0.0266737879023132,7.13834993531139,4.80996187511214,-0.00439641405217226
"AR1 model",0.0198977972945313,0.0168442880632984,4.27835313184303,3.5142020059893,-0.000978960979430531
"ST model coarser",NA,NA,NA,NA,NA
