"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.210602168724428,0.165091096519671,41.756670546589,0.0959519367841121
"QM",0.173605765732957,0.127842395255278,33.0917844311316,-0.0241799588911898
"GB LM",0.169721228562754,0.12795034119662,29.7517943842424,-0.0428997075853347
"Linear model",0.153925652735154,0.118261567432078,28.1803497129291,0.000416778771010758
"LM t model",0.150839204343055,0.114212205811519,27.9145292767093,-0.00814344543291589
"LM bru model",0.150203606214385,0.115699486142822,27.8825499544121,0.000598745943231379
"LM beta model",0.150201664892527,0.116284210075596,27.6082085669643,0.0053441049230253
"LM+hour model",0.149892190563327,0.11546292501113,27.7907604563314,0.000607454831412334
"AR1 model",0.142562860890941,0.109883079874335,26.6176021802198,0.00081114684880762
"ST model coarser",NA,NA,99.9984943592713,-0.173585982426415
