"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.370909037037905,0.282492783751315,1843.61631527245,43.777715599374,0.271975665341057
"Wind Offshore","QM",0.258070864374829,0.172612369226508,1326.35469062103,22.8050862594497,0.102556024215431
"Wind Offshore","GB LM",0.211986425932171,0.155064222062293,1033.25344784958,20.4287934892058,-0.00825917580740781
"Wind Offshore","AR2 model",0.194504099478364,0.140580525931729,871.598100329056,19.0104571682471,-0.00044848901894289
"Wind Offshore","AR1 model",0.194329107606247,0.140387468799086,872.070565669213,18.9707698090805,-0.000421275580802275
"Wind Offshore","Linear model",0.163062019630275,0.121894191454053,894.471707810962,18.4295304835478,0.00330493169554732
"Wind Offshore","Spatio-temporal model",0.0571161986264258,0.0388073690776559,224.339251546595,5.49889503512396,0.000337118773049261
"Wind Onshore","Generic PC",0.308322875774571,0.229829477311846,1402.85205451702,33.3851268139122,0.18140909884381
"Wind Onshore","QM",0.261765604789475,0.189641332562392,859.817551863489,29.7039920954183,-0.0322959110051876
"Wind Onshore","GB LM",0.233053342701285,0.177144800286938,1077.48188839048,24.4392985505675,0.00818969390799728
"Wind Onshore","Linear model",0.219337648910509,0.166458005322113,1076.26798697602,24.0791135735519,0.000127593450638142
"Wind Onshore","AR2 model",0.208027426019255,0.15550256030893,1254.61717245085,22.2970211818915,0.000404238934139515
"Wind Onshore","AR1 model",0.207900429895223,0.155442018704798,1242.98569054086,22.2447042863741,0.000391057453987527
"Wind Onshore","Spatio-temporal model",0.0869061574613006,0.0599334667434607,307.1650856897,8.60970813717835,-0.000285301018502481
