"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"mid","Generic PC",0.242348449197397,0.157145069723993,934.393484332525,65.9162944556441,0.0958803387352819
"mid","QM",0.188133453699071,0.119958641038585,568.989466819874,57.974581067247,-0.00560822256982914
"mid","GB LM",0.183705918820992,0.123346043132643,755.350744240973,51.1963238094151,0.025622575695798
"mid","Linear model",0.153516764103397,0.100857090069567,562.654571020003,48.5391155949022,-0.0140889289129166
"mid","AR2 model",0.153193745096543,0.105921887956311,627.542368719085,47.2369101876397,0.000294845482019614
"mid","AR1 model",0.153164910686679,0.105880722916633,628.926664994031,47.2589052702503,0.000190799996296625
"mid","Spatio-temporal model",0.0891366018001657,0.0551531261863747,235.460516279624,28.4491839036038,0.000584784523066392
"low","Generic PC",0.146421877980642,0.0770638301805035,1023.55415041778,83.9243995311532,0.0469592768500615
"low","QM",0.102469351667234,0.0521890160510945,499.160205939042,87.5375858791442,0.00264834340541782
"low","GB LM",0.0959358513757151,0.057940456452753,1208.58862979055,69.0243124960458,0.0204820969549527
"low","Linear model",0.0798134878701696,0.0479913229459211,1015.42682289052,73.2976940985489,0.0116999055831015
"low","AR2 model",0.0776082855286469,0.0445123214243876,914.521965253058,71.6263567953827,0.00423516235493803
"low","AR1 model",0.0775790481324265,0.0444986442781752,915.124489939988,71.7021060282453,0.0042532773808359
"low","Spatio-temporal model",0.0415111333291543,0.023079234220631,451.264689622496,39.3987654863291,0.00159675731479508
