"tech_typ","model","RMSE","MAE","MAPE","MDAPE","Bias"
"Wind Offshore","Generic PC",0.349348359482415,0.256606456262465,108.834648543786,24.3084948314234,0.253610807108121
"Wind Offshore","QM",0.237138697171608,0.153181006396579,55.0276103840606,12.0111881392116,0.0785466178193134
"Wind Offshore","GB LM",0.210867789063877,0.148946995001385,67.9074782812489,15.6915016046554,0.000515315692091087
"Wind Offshore","AR2 model",0.198492063797502,0.140344031608411,104.388039073927,15.0206654754907,-0.0011468463944324
"Wind Offshore","AR1 model",0.198402866330493,0.140248303685158,106.833613172518,14.946498531795,-0.000850323093352183
"Wind Offshore","Linear model",0.157877801501872,0.124582240705644,46.3108643100631,14.335378007354,0.00253785966924495
"Wind Offshore","Spatio-temporal model",0.0524167559456636,0.0347162457999448,99.8912909083862,3.51861287327406,0.000205968042015767
"Wind Onshore","Generic PC",0.340422634212777,0.247957252182989,247.802758428398,33.1059867076205,0.207258161894558
"Wind Onshore","QM",0.283073413232611,0.206986659683802,100.621559969207,32.4556338600146,-0.0248458507676714
"Wind Onshore","GB LM",0.247738323791451,0.181534943325064,202.431709673842,23.2721900922621,0.0333142417603033
"Wind Onshore","Linear model",0.242398239542539,0.180731492214043,232.131875609508,24.8701988391589,0.000273626358559015
"Wind Onshore","AR2 model",0.226686765029677,0.170601711996664,212.669402427929,24.0378866411963,0.000938442700980298
"Wind Onshore","AR1 model",0.226572890855248,0.170586509496628,212.486805620621,23.9908470244234,0.000845015589680973
"Wind Onshore","Spatio-temporal model",0.0845149001929075,0.0583039845215633,87.8223483669067,8.90604161089962,0.000899680347661268
