"model","mlik","dic","waic","mean_log_cpo","mean_log_gcpo","AIC","BIC","logLik","deviance","R2"
"ts_bru0_lm_250131.rds",14745.2119166618,-29681.115087215,-29681.573779112,0.650198714827072,0.645901897268419,NA,NA,NA,NA,NA
"ts_bru0_lmbeta_250131.rds",11730.7037283386,-23648.0297557825,-23642.8323868996,0.517915089713285,0.512964058109425,NA,NA,NA,NA,NA
"ts_bru0_lmt_250131.rds",15982.9398290876,-32202.1080527491,-32190.6730062212,0.705162612406405,0.699262457625002,NA,NA,NA,NA,NA
"ts_bru0_ar1_250131.rds",15014.1827140418,-30351.1866192,-30352.3363319817,0.664891162083952,0.662756588675964,NA,NA,NA,NA,NA
"ts_bru0_ar2_250131.rds",15030.4968795326,-30376.2986141591,-30378.4622035459,0.665463820962944,0.663419023724395,NA,NA,NA,NA,NA
"ts_bru0_1DSPDE_250131.rds",14711.5801338872,-29592.3520434506,-29593.5975298906,0.648271541198377,0.646287901328528,NA,NA,NA,NA,NA
"st_bru0_very_coarse_250131.rds",4147.5993005306,-8780.51190795353,-8826.93215912997,0.646181797334298,0.627751211942877,NA,NA,NA,NA,NA
"lm_model_aic0_250131.rds",NA,NA,NA,NA,NA,-27819.8684955791,-27731.476766819,13920.9342477895,394.625633705681,0.834857293130989
"gblm_model_aic0_250131.rds",NA,NA,NA,NA,NA,-364084.390839545,-363978.047597565,182053.195419772,301.965090619143,0.958670502860869
"qm_model_250131.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797966744855045
