"model","RMSE","MAE","MDAPE","Bias"
"Generic PC",0.264971167384628,0.186934538293815,57.8101904231746,0.149649441602511
"QM",0.191213477105576,0.129767688857215,42.4778830411124,0.000105799794699662
"GB LM",0.176338275729995,0.126345611600346,36.1749344766203,0.0241547288671031
"Linear model",0.152820582621823,0.112620706332129,35.0019390669256,0.00391448657499606
"AR1 model",0.14903884996264,0.107427936613158,33.5584927083085,0.00258806975588259
"AR2 model",0.149031108404056,0.107421008601441,33.4186411759291,0.0026131772627296
"Spatio-temporal model",0.0484432509718044,0.0318196605852748,10.2991084505913,0.000647618040605966
