"p_group3","model","RMSE","MAE","MAPE","MDAPE","Bias"
"high","Generic PC",0.242450851691671,0.201832082084037,56.6375372795772,33.6029958299668,0.154190885074784
"high","QM",0.207926175870492,0.162013654032398,33.7261870438913,28.0573391376232,-0.0736017661898203
"high","GB LM",0.171746252879068,0.136524913391992,34.4295610516361,21.4400478758224,-0.0481349036570359
"high","LM t model",0.170128490729481,0.130944607762238,30.3170954710421,20.7998233797928,-0.0400102912820649
"high","Linear model",0.159123861437581,0.125481962477001,31.5378813103137,19.9540903258148,-0.0253854177562221
"high","LM+hour model",0.158290157887725,0.12395863856214,31.2268134477814,19.6463861055035,-0.0218820702266294
"high","LM bru model",0.158219167269508,0.123948905035781,30.8852484110747,19.6591570227347,-0.0224863535981961
"high","AR1 model",0.154059500525583,0.12439771881782,37.4130802491584,19.4530850023026,-0.000318732108930907
"high","LM beta model",0.153418023569316,0.120700414610717,30.7853900978385,19.2864001008656,-0.0100569554218291
"high","ST model coarser",NA,NA,95.457701320948,99.998802926546,-0.520323655219414
"mid","Generic PC",0.220371787336983,0.176373431277487,121.180421252959,41.8944178008706,0.135131500142113
"mid","QM",0.17682530842871,0.128176373869551,59.788995362673,30.6954168505549,-0.0475009321717398
"mid","GB LM",0.156452290892461,0.121250044704324,93.7985322257013,26.3124412087439,-0.022705419875548
"mid","LM t model",0.150082151414969,0.111890878696624,62.8425734730987,25.7264867073682,-0.0253434724852687
"mid","Linear model",0.145286022944971,0.112030148390948,79.8361805303063,24.5130278741774,-0.0068439238420105
"mid","LM bru model",0.142488545118899,0.109387772623962,81.0687295506266,24.2246191020909,-0.00842929138665533
"mid","LM+hour model",0.14198057658488,0.108821571331902,78.2317266001695,24.1863148256989,-0.00825182415287808
"mid","LM beta model",0.140969786438429,0.108176534825042,81.8797805611545,24.0564718336502,0.00169084523775753
"mid","AR1 model",0.135875792490471,0.105405958303271,87.1053934614391,23.6084305152241,0.000178377867388185
"mid","ST model coarser",NA,NA,116.289151026964,99.9992886482654,-0.427243040976184
"low","Generic PC",0.134594564644943,0.0848464341138204,1010.60517220627,79.9691643066107,0.0487977982615972
"low","GB LM",0.0923815873606422,0.061681889753967,1063.41192670769,62.9339094510449,0.0113971067866046
"low","QM",0.0903847405788211,0.0544176913406654,408.964690690915,72.3217971898718,-0.0175201936219206
"low","Linear model",0.087403330110269,0.058614923236432,986.852210356005,68.7729611515661,0.00958227034466328
"low","LM bru model",0.08507842311395,0.0572958285261291,1034.69888242847,66.351336826495,0.0102060059128091
"low","LM+hour model",0.0849628717533685,0.0573165841937713,1041.69590270878,67.2478982228799,0.0101101350482268
"low","LM t model",0.0841665320641855,0.0524639818917468,767.071948335324,60.0147023078387,-0.00697057964795153
"low","LM beta model",0.0833762851392804,0.0560947756421871,1045.81146808356,60.4620472209772,0.0125117144970385
"low","AR1 model",0.0802545142137877,0.0529569548276187,901.166350269468,62.7958601513137,0.00277855461792244
"low","ST model coarser",NA,NA,1731.74671804579,100,-0.0466296768029709
